FairShip verification: our retina/NLL trackers (4 targets) vs FairShip, on data/mc.
Three regimes (hit source varies, all else fixed): our StereoTracking sim material OFF, our sim
material ON, and FairShip's OWN digitized daughter hits (real spectrometer field map + geometry
calibrated from the MC hit cloud).
Columns: R=retina N=NLL | Tu=tubes(V1, wire centre) TD=TDC(V2, raw readout, network proxy)
         Dr=drift(V3, smeared r_drift) Hi=hits(V4, exact x,y, sanity floor).  +FairShip = its reco.
Cuts: OUR trackers use OUR cuts (>=25 hits/track, >=3 stations, chi2/Ndf<4, DoCA<=2cm, from our
      fit); the FairShip column uses FAIRSHIP cuts (events FairShip reconstructed). 'acceptance %'
      = fraction passing; all other rows are on each column's accepted subset.
Table 1 rows: dp/|p| (median/RMS %); p_x/y/z & vertex_x/y/z (median|err|, RMSE; GeV/cm); doca cm.
Table 2 rows: per-component R^2 = 1 - MSE/Var(true) (1=perfect, 0=predict-the-mean, <0=worse).
Fit on the first 16384 events. Regimes done: 3/3 (COMPLETE).
Network columns (this report): NN = the trained regressor under OUR cuts (it has no per-track fit,
  so it borrows the nll-tdc tracker's accepted subset); NN-FS = the same network under FAIRSHIP cuts.
  The network is fed its NATIVE realistic fired-straw hits (re-simulated for the sim regimes; FairShip's
  own digitized hits for the FairShip regime -- a domain shift, so NN/NN-FS there are an OOD estimate).

====================================================================================================
# MASTER TABLE 1 -- physical units (cm, GeV)
====================================================================================================

## OUR SIM, material = OFF (clean daughters)
| metric        |    R-Tu |    R-TD |   R-Dr |    R-Hi |   N-Tu |    N-TD |    N-Dr |    N-Hi |      NN |   FairShip |   NN-FS |
|---------------|---------|---------|--------|---------|--------|---------|---------|---------|---------|------------|---------|
| acceptance %  |  13.959 |  43.542 | 48.096 |  51.837 | 17.542 |  49.115 |  53.387 |  57.336 |  49.115 |     20.282 |  20.282 |
| dp/|p| med%   |   5.933 |   0.214 |  0.189 |   0.035 |  6.043 |   0.245 |   0.199 |   0.037 |  29.775 |      0.683 |  29.862 |
| dp/|p| RMS%   | 110.253 |  89.001 | 84.676 |  80.845 |  57.11 |  83.922 |  80.433 |  76.985 |  82.341 |      4.407 |  96.823 |
| vertex_x med  |   3.001 |    0.11 |  0.104 |   0.013 |  2.491 |   0.101 |   0.095 |   0.011 |  10.303 |      0.130 |  10.214 |
| vertex_x RMSE |   9.563 |   5.991 |  5.837 |   5.733 |  8.626 |   5.446 |   5.651 |   5.555 |  17.355 |      3.339 |  17.670 |
| vertex_y med  |   0.823 |   0.049 |  0.044 |   0.023 |  0.712 |   0.047 |   0.041 |   0.021 |   7.508 |      0.063 |   7.363 |
| vertex_y RMSE |   6.993 |   5.864 |  5.877 |   5.419 |  7.955 |   5.672 |   5.934 |   5.511 |  14.781 |      1.350 |  13.669 |
| vertex_z med  |  46.899 |   3.917 |  3.478 |   2.057 | 44.038 |   3.804 |   3.329 |   1.831 | 442.975 |     25.837 | 431.396 |
| vertex_z RMSE | 306.403 | 158.107 | 150.52 | 137.852 | 239.13 | 149.035 | 144.631 | 132.744 | 688.994 |    181.841 | 654.294 |
| p_x med       |   0.041 |   0.001 |  0.001 |       0 |  0.038 |   0.001 |   0.001 |       0 |   0.138 |      0.003 |   0.128 |
| p_x RMSE      |   0.953 |   0.641 |  0.609 |   0.588 |  0.417 |   0.604 |   0.578 |   0.559 |   0.311 |      0.041 |   0.297 |
| p_y med       |   0.017 |   0.001 |  0.001 |   0.001 |  0.016 |   0.001 |   0.001 |   0.001 |   0.120 |      0.002 |   0.121 |
| p_y RMSE      |   0.616 |   0.216 |  0.206 |   0.199 |  0.349 |   0.204 |   0.196 |    0.19 |   0.310 |      0.034 |   0.308 |
| p_z med       |   1.114 |   0.043 |  0.037 |   0.007 |   1.19 |   0.051 |   0.041 |   0.008 |   6.641 |      0.129 |   6.412 |
| p_z RMSE      |  51.558 |  11.712 | 11.139 |  10.847 | 37.508 |  11.034 |  10.569 |  10.225 |  15.588 |      0.986 |  14.867 |
| doca cm med   |   0.971 |   0.176 |  0.165 |    0.07 |  0.887 |   0.151 |   0.146 |   0.066 |     n/a |        n/a |     n/a |
| doca cm RMSE  |   1.137 |   0.345 |  0.333 |    0.17 |  1.087 |   0.323 |   0.315 |   0.169 |     n/a |        n/a |     n/a |

## OUR SIM, material = ON (secondaries as noise)
| metric        |    R-Tu |    R-TD |    R-Dr |    R-Hi |    N-Tu |    N-TD |    N-Dr |    N-Hi |      NN |   FairShip |   NN-FS |
|---------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|------------|---------|
| acceptance %  |  13.483 |  41.284 |   47.29 |   51.19 |   16.73 |  46.216 |  51.666 |  55.957 |  46.216 |     20.282 |  20.282 |
| dp/|p| med%   |   5.945 |   0.282 |   0.262 |   0.151 |   6.079 |    0.31 |    0.27 |   0.162 |  30.346 |      0.683 |  30.834 |
| dp/|p| RMS%   | 109.248 |  91.321 |  85.198 |  81.315 |  66.034 |  85.612 |  80.922 |  77.899 |  82.073 |      4.407 | 101.897 |
| vertex_x med  |   2.977 |   0.116 |   0.115 |   0.032 |   2.552 |   0.105 |   0.105 |    0.03 |  10.603 |      0.130 |  10.604 |
| vertex_x RMSE |   9.709 |   5.087 |   5.203 |   5.004 |   7.213 |   5.008 |   5.081 |   4.908 |  18.100 |      3.339 |  20.357 |
| vertex_y med  |   0.818 |   0.056 |   0.053 |   0.033 |   0.718 |   0.051 |   0.049 |   0.032 |   7.845 |      0.063 |   7.820 |
| vertex_y RMSE |   7.163 |   5.194 |   5.551 |   4.729 |   6.771 |   5.247 |    5.39 |   4.937 |  16.173 |      1.350 |  15.835 |
| vertex_z med  |   48.14 |   3.964 |   3.668 |   2.186 |  44.454 |    3.85 |   3.567 |   2.052 | 452.650 |     25.837 | 455.732 |
| vertex_z RMSE | 327.656 | 143.312 | 164.766 | 137.874 | 249.246 | 130.289 | 146.981 | 133.679 | 723.472 |    181.841 | 718.783 |
| p_x med       |   0.042 |   0.001 |   0.002 |   0.001 |   0.038 |   0.002 |   0.002 |   0.001 |   0.139 |      0.003 |   0.134 |
| p_x RMSE      |   0.906 |   0.658 |   0.615 |   0.591 |   0.446 |   0.622 |   0.589 |   0.566 |   0.312 |      0.041 |   0.309 |
| p_y med       |   0.016 |   0.001 |   0.001 |   0.001 |   0.016 |   0.001 |   0.001 |   0.001 |   0.123 |      0.002 |   0.126 |
| p_y RMSE      |   0.593 |   0.222 |   0.208 |   0.201 |   0.368 |   0.211 |   0.199 |   0.193 |   0.315 |      0.034 |   0.323 |
| p_z med       |   1.079 |   0.053 |   0.048 |   0.026 |   1.196 |   0.062 |   0.053 |   0.029 |   6.788 |      0.129 |   6.671 |
| p_z RMSE      |  49.912 |  12.014 |  11.212 |  10.818 |  43.407 |   11.36 |  10.741 |  10.367 |  15.732 |      0.986 |  15.346 |
